Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w38-s6-main-16workers-1,read,2416,2416000000,16,256.18,107.61,240,360,440,520,740,1640,40.37,40371414.72,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w38-s6-main-16workers-2,write,1011,1011000000,16,334.76,214.12,330,420,520,620,790,1290,16.89,16894142.82,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(601-700) sizes=c(1)MB
w38-s7-main-32workers-1,read,2463,2463000000,32,499.44,226.94,500,700,890,1090,1500,2170,41.28,41283830.2,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w38-s7-main-32workers-2,write,1052,1052000000,32,645.12,431.1,620,830,1070,1330,1870,2490,17.63,17633836.1,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(701-800) sizes=c(1)MB
w38-s8-main-64workers-1,read,2445,2445000000,64,972.49,462.53,760,1390,2570,3110,4160,6430,41.28,41276415.25,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w38-s8-main-64workers-2,write,1084,1084000000,64,1303.85,1060.89,930,1740,3100,4530,6370,8240,18.3,18297260.8,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(801-900) sizes=c(1)MB
w38-s9-main-128workers-1,read,2495,2495000000,128,1797.56,942.63,870,2080,6410,8480,9660,18290,45.29,45285173.39,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w38-s9-main-128workers-2,write,1001,1001000000,128,2581.37,2329.26,1000,2570,8230,15850,17970,30260,18.26,18256654.51,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(901-1000) sizes=c(1)MB
w38-s10-main-256workers-1,read,2406,2406000000,256,3541.47,1766.77,1440,6570,11530,14390,17470,30110,46.21,46210802.08,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w38-s10-main-256workers-2,write,950,950000000,256,5009.23,4670.35,2370,9300,14290,21680,30260,30620,18.46,18457168.56,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(1001-1100) sizes=c(1)MB
w38-s11-main-512workers-1,read,1746,1746000000,512,9489.42,5515.53,7310,13430,22860,25400,29180,42910,33.04,33042513.3,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w38-s11-main-512workers-2,write,650,650000000,512,15748.09,13755.26,13920,23580,30760,32020,34680,35130,12.45,12452216.87,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(1101-1200) sizes=c(1)MB
w38-s12-cleanup-1,cleanup-delete,24000,0,16,55.29,55.29,70,80,90,100,120,170,328.32,0,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) deleteContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-1200)
w38-s13-dispose-1,dispose-delete,0,0,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w39-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w39-s2-prepare-1,prepare-write,6000,24000000000,16,1053.89,343.17,1080,1370,1640,1910,2500,4150,15.18,60738970.41,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(4)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(4)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(4)MB createContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(4)MB
w39-s3-main-1worker-1,read,279,1116000000,1,138.82,14.16,140,150,150,160,180,220,4.66,18636029.66,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w39-s3-main-1worker-2,write,136,544000000,1,155.42,25.35,160,170,170,170,180,180,2.27,9084229.51,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(301-400) sizes=c(4)MB
w39-s4-main-4workers-1,read,647,2588000000,4,268.95,46.57,240,340,470,530,750,1050,10.79,43148981.02,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
