Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,38,2432000,717.32,714.39,0.65,41396.45,100%
write,write,19,1216000,1657.37,1654.89,0.32,20698.22,100%
read,read,47,3008000,664.7,661.02,0.8,50980.46,100%
write,write,18,1152000,1542.17,1539.78,0.31,19524.43,100%
read,read,38,2432000,781.11,777.55,0.64,40806.74,100%
write,write,19,1216000,1574.37,1571.95,0.32,20403.37,100%
read,read,40,2560000,616.45,613.12,0.68,43607.13,100%
write,write,15,960000,2269.67,2267.27,0.26,16352.67,100%
read,read,42,2688000,730.55,727.29,0.72,45833.55,100%
write,write,21,1344000,1331.43,1329.19,0.36,22916.77,100%
read,read,35,2240000,830,824.89,0.6,38212.87,100%
write,write,15,960000,1971.2,1968.2,0.26,16376.94,100%
read,read,36,2304000,731.33,726.86,0.61,39021.75,100%
write,write,17,1088000,1924.47,1922,0.29,18426.94,100%
read,read,35,2240000,754.6,750.8,0.6,38130.26,100%
write,write,16,1024000,2020.94,2018.06,0.27,17430.97,100%
read,read,35,2240000,675.14,670.31,0.6,38602.05,100%
write,write,17,1088000,2023.29,2020.41,0.29,18749.57,100%
read,read,40,2560000,675.12,672.55,0.68,43565.57,100%
write,write,18,1152000,1764.17,1759.89,0.31,19604.51,100%
read,read,43,2752000,698.02,694.4,0.73,46435.5,100%
write,write,21,1344000,1392.71,1390.14,0.35,22677.8,100%
read,read,40,2560000,468.28,463.38,0.68,43278.33,100%
write,write,21,1344000,1924.76,1922,0.36,22721.13,100%
read,read,34,2176000,709.21,703.59,0.57,36367.28,100%
write,write,22,1408000,1623.59,1621.05,0.37,23531.77,100%
read,read,38,2432000,793.21,790.5,0.65,41527.22,100%
write,write,21,1344000,1353.33,1350.76,0.36,22949.25,100%
read,read,49,3136000,481.14,477.57,0.83,52956.87,100%
write,write,21,1344000,1697.24,1694.43,0.35,22695.8,100%
read,read,39,2496000,949.46,945.92,0.68,43201.33,100%
write,write,18,1152000,1152.44,1149.61,0.31,19939.08,100%
read,read,49,3136000,653.14,648.8,0.82,52413.42,100%
write,write,21,1344000,1325.14,1321.57,0.35,22462.9,100%
read,read,37,2368000,834.19,829.57,0.62,39467.32,100%
write,write,18,1152000,1618.56,1615.39,0.3,19200.32,100%
read,read,52,3328000,665.63,660.5,0.91,58006.38,100%
write,write,16,1024000,1422.38,1419.69,0.28,17848.12,100%
read,read,45,2880000,769.42,765.87,0.78,49868.4,100%
write,write,19,1216000,1217.11,1214.42,0.33,21055.55,100%
read,read,47,3008000,608.96,604.26,0.8,51000.34,100%
write,write,14,896000,2168.43,2166.21,0.24,15191.59,100%
read,read,43,2752000,671.65,666.33,0.72,46261.43,100%
write,write,18,1152000,1700.33,1698.17,0.3,19365.25,100%
read,read,38,2432000,653.18,648.79,0.64,40679.78,100%
write,write,21,1344000,1664.71,1662.48,0.35,22480.93,100%
read,read,20,1280000,774.15,770.15,0.33,21431.92,100%
write,write,21,1344000,2106.62,2104.38,0.35,22503.52,100%
read,read,42,2688000,685,681.12,0.71,45362.49,100%
write,write,21,1344000,1451.48,1448.86,0.35,22681.25,100%
read,read,42,2688000,531.95,527.21,0.72,46126.13,100%
write,write,18,1152000,1996.11,1993.67,0.31,19768.34,100%
read,read,37,2368000,746.73,743.89,0.62,39857.27,100%
write,write,19,1216000,1672.79,1670.53,0.32,20467.25,100%
read,read,41,2624000,799.9,796.68,0.69,44063.07,100%
write,write,20,1280000,1337.5,1334.6,0.34,21494.18,100%
read,read,55,3520000,590.27,586.45,0.97,61875.97,100%
write,write,18,1152000,1356.83,1354.61,0.32,20250.32,100%
read,read,37,2368000,713.51,711.14,0.63,40634.92,100%
write,write,16,1024000,1992.06,1988.88,0.27,17571.86,100%
read,read,34,2176000,698.88,694.15,0.58,37055.33,100%
write,write,17,1088000,2056.41,2054.12,0.29,18527.66,100%
read,read,41,2624000,702.93,700.1,0.7,44908.44,100%
write,write,19,1216000,1558.32,1556.05,0.33,20811.23,100%
read,read,38,2432000,531.66,528.61,0.63,40626.77,100%
write,write,22,1408000,1802.45,1800.32,0.37,23520.76,100%
read,read,37,2368000,711.35,707.54,0.64,41186.91,100%
write,write,17,1088000,1833.71,1831.35,0.3,18923.71,100%
read,read,27,1728000,867.52,863.85,0.46,29538.97,100%
write,write,17,1088000,2063.24,2060.71,0.29,18598.61,100%
read,read,44,2816000,563.8,555.05,0.75,48146.63,100%
write,write,20,1280000,1684,1681.7,0.34,21884.83,100%
read,read,58,3712000,588.91,584.57,0.99,63166.85,100%
write,write,18,1152000,1367.11,1364.89,0.31,19603.51,100%
read,read,39,2496000,595.82,591.54,0.67,42730.95,100%
write,write,13,832000,2705.69,2703.62,0.22,14243.65,100%
read,read,55,3520000,617.24,613.22,0.94,60003.75,100%
write,write,23,1472000,1074.35,1072.13,0.39,25092.48,100%
read,read,55,3520000,482.4,478.85,0.93,59693.39,100%
write,write,18,1152000,1801.83,1799.39,0.31,19536.02,100%
read,read,53,3392000,596.91,592.21,0.9,57470.1,100%
write,write,16,1024000,1711.5,1709.5,0.27,17349.46,100%
read,read,42,2688000,717.55,714.5,0.7,44844.84,100%
write,write,16,1024000,1862.69,1860.19,0.27,17083.75,100%
read,read,48,3072000,663.35,659.9,0.81,51928.73,100%
write,write,21,1344000,1300.67,1297.52,0.35,22718.82,100%
read,read,49,3136000,663.18,660.39,0.82,52324.22,100%
write,write,21,1344000,1306.48,1303.71,0.35,22424.67,100%
read,read,40,2560000,604.65,600.75,0.67,42687.3,100%
write,write,19,1216000,1883.32,1880.74,0.32,20276.47,100%
read,read,37,2368000,637.81,633.35,0.62,39706.23,100%
write,write,18,1152000,2002.11,1999.28,0.3,19316.54,100%
read,read,46,2944000,704.41,701.26,0.78,49984.72,100%
write,write,19,1216000,1394.26,1391.68,0.32,20645.86,100%
read,read,45,2880000,765.16,762.09,0.75,48312.42,100%
write,write,18,1152000,1398.89,1396.33,0.3,19324.97,100%
read,read,44,2816000,559.02,549.43,0.75,47768.49,100%
write,write,15,960000,2290.2,2287.93,0.25,16284.71,100%
read,read,28,1792000,473.25,471.07,0.47,30283.57,100%
write,write,21,1344000,2186.76,2184.24,0.35,22712.68,100%
read,read,45,2880000,641.42,637.42,0.76,48489.75,100%
write,write,17,1088000,1795.82,1793.18,0.29,18318.35,100%
read,read,56,3584000,599.27,595.41,0.96,61608.28,100%
write,write,19,1216000,1295.37,1292.58,0.33,20902.81,100%
read,read,54,3456000,599.59,596.93,0.95,60780.87,100%
write,write,21,1344000,1165.76,1163.05,0.37,23637,100%
read,read,56,3584000,590.38,586.2,0.95,60653.24,100%
write,write,22,1408000,1183.14,1180.73,0.37,23828.06,100%
read,read,30,1920000,746.07,743.17,0.51,32667.51,100%
write,write,18,1152000,2021.44,2018.78,0.31,19600.5,100%
read,read,49,3136000,644.12,639.55,0.83,53180.48,100%
write,write,17,1088000,1612,1609.12,0.29,18450.37,100%
read,read,38,2432000,784.84,781.45,0.63,40598.97,100%
write,write,15,960000,2005.07,2002.8,0.25,16025.91,100%
read,read,44,2816000,766.02,762.73,0.73,46957.59,100%
write,write,17,1088000,1544.76,1542.06,0.28,18142.71,100%
read,read,46,2944000,567.24,564.43,0.79,50405.78,100%
write,write,19,1216000,1700.63,1697.53,0.33,20819.78,100%
read,read,43,2752000,656.4,653.07,0.73,46618.78,100%
write,write,19,1216000,1621.21,1618.84,0.32,20599,100%
read,read,33,2112000,504.55,499.06,0.58,37038.99,100%
write,write,22,1408000,1835,1831.91,0.39,24692.66,100%
read,read,50,3200000,750.62,747.28,0.84,53748.99,100%
write,write,15,960000,1466.87,1464.47,0.25,16124.7,100%
read,read,37,2368000,875.89,871.46,0.63,40215.34,100%
write,write,18,1152000,1470.78,1468.61,0.31,19564.22,100%
read,read,40,2560000,679.95,676.05,0.69,43841.62,100%
write,write,15,960000,2079.4,2075.6,0.26,16440.61,100%
read,read,35,2240000,730.11,726.23,0.59,37814.84,100%
write,write,17,1088000,1981.06,1978.47,0.29,18367.21,100%
read,read,46,2944000,588.39,584.11,0.77,49469.85,100%
write,write,14,896000,2317.5,2314.64,0.24,15056.04,100%
read,read,49,3136000,646.78,643.63,0.84,53533.63,100%
write,write,13,832000,2068.23,2066,0.22,14202.8,100%
read,read,43,2752000,731.23,727.53,0.73,46958.45,100%
write,write,16,1024000,1697.56,1695.31,0.27,17472.91,100%
read,read,39,2496000,614.56,610.72,0.68,43418.51,100%
write,write,20,1280000,1675.75,1673.7,0.35,22265.9,100%
read,read,46,2944000,639.5,633.91,0.78,50021.24,100%
write,write,20,1280000,1471.65,1469.45,0.34,21748.36,100%
read,read,57,3648000,501.54,497.79,0.96,61339.79,100%
write,write,22,1408000,1403.68,1401.18,0.37,23675.01,100%
read,read,51,3264000,535.57,531.55,0.85,54409.07,100%
write,write,33,2112000,990.12,988.12,0.55,35205.87,100%
read,read,61,3904000,572.62,568.39,1.04,66379.88,100%
write,write,11,704000,2171.09,2168.18,0.19,11970.14,100%
read,read,62,3968000,624.29,620.03,1.04,66503.54,100%
write,write,16,1024000,1309.88,1307.56,0.27,17162.2,100%
read,read,38,2432000,588.05,585.34,0.64,41094.96,100%
write,write,19,1216000,1938.47,1935.63,0.32,20547.48,100%
read,read,46,2944000,565.96,562.07,0.81,51614.71,100%
write,write,18,1152000,1722.39,1720.06,0.32,20197.06,100%
read,read,50,3200000,643.4,638.9,0.84,53966.54,100%
write,write,20,1280000,1356.15,1353.25,0.34,21586.62,100%
read,read,35,2240000,687.46,684.49,0.59,37921.75,100%
write,write,19,1216000,1842.37,1839.74,0.32,20586.09,100%
read,read,44,2816000,726.05,723.89,0.76,48518.26,100%
write,write,15,960000,1739.27,1736.73,0.26,16540.32,100%
read,read,37,2368000,658.03,655.14,0.62,39939.96,100%
write,write,18,1152000,1941.17,1939.06,0.3,19430.25,100%
read,read,56,3584000,617.59,614.68,0.95,61009.45,100%
write,write,15,960000,1610.6,1608.2,0.26,16341.82,100%
read,read,43,2752000,836.26,831.6,0.72,45966.26,100%
write,write,17,1088000,1406.41,1404,0.28,18172.71,100%
read,read,39,2496000,520.74,517.56,0.67,42624.41,100%
write,write,24,1536000,1593.62,1590.88,0.41,26230.4,100%
read,read,44,2816000,615.02,610.14,0.74,47355.59,100%
write,write,22,1408000,1472.73,1470.5,0.37,23677.79,100%
read,read,38,2432000,671.32,666.55,0.65,41370.39,100%
write,write,20,1280000,1663.7,1661.55,0.34,21773.89,100%
read,read,40,2560000,582.62,578.55,0.68,43607.87,100%
write,write,18,1152000,1966.61,1964.28,0.31,19623.54,100%
read,read,30,1920000,813.6,808.53,0.5,32292.24,100%
write,write,21,1344000,1669,1666.1,0.35,22604.57,100%
read,read,41,2624000,465.66,461.95,0.7,44890,100%
write,write,26,1664000,1513.88,1510.15,0.44,28466.83,100%
read,read,45,2880000,619.4,615.91,0.75,48247.67,100%
write,write,20,1280000,1590.9,1588.4,0.34,21443.41,100%
read,read,46,2944000,645.2,640.83,0.78,50153.32,100%
write,write,17,1088000,1707.06,1704.41,0.29,18534.92,100%
read,read,44,2816000,773.98,770.93,0.75,47822.84,100%
write,write,20,1280000,1241.35,1239.3,0.34,21737.65,100%
read,read,43,2752000,759.84,756.47,0.73,46980.09,100%
write,write,21,1344000,1233.48,1230.57,0.36,22943.77,100%
read,read,63,4032000,681.16,677.89,1.05,67489.08,100%
write,write,24,1536000,701.04,697.88,0.4,25710.13,100%
read,read,47,3008000,725.51,722.34,0.8,51389.81,100%
write,write,15,960000,1628.67,1625.67,0.26,16401,100%
read,read,41,2624000,643.44,639.41,0.68,43749.37,100%
write,write,19,1216000,1768.11,1765.63,0.32,20274.1,100%
read,read,48,3072000,686.98,683.23,0.82,52333.01,100%
write,write,17,1088000,1513.24,1511.06,0.29,18534.61,100%
read,read,44,2816000,603.48,600.14,0.76,48559.26,100%
write,write,19,1216000,1654.63,1651.68,0.33,20968.77,100%
read,read,45,2880000,815.33,812.56,0.75,48054.46,100%
write,write,15,960000,1549.33,1546.07,0.25,16018.15,100%
read,read,27,1728000,794.48,791.96,0.45,28814.89,100%
write,write,24,1536000,1604.71,1602.33,0.4,25613.23,100%
read,read,42,2688000,580.69,577.1,0.71,45161.29,100%
write,write,21,1344000,1672.67,1669.95,0.35,22580.65,100%
read,read,39,2496000,752.74,750,0.69,44037.47,100%
write,write,15,960000,1821.33,1819.47,0.26,16937.49,100%
read,read,44,2816000,596.07,592.25,0.74,47545.08,100%
write,write,24,1536000,1375,1372.38,0.41,25933.68,100%
read,read,37,2368000,712.19,708.27,0.63,40484.86,100%
write,write,17,1088000,1890.41,1887.94,0.29,18601.15,100%
read,read,46,2944000,577.02,574.17,0.77,49130.54,100%
write,write,19,1216000,1756.79,1754.47,0.32,20293.05,100%
read,read,41,2624000,671.24,667.61,0.69,44172.85,100%
write,write,16,1024000,1992.38,1989.38,0.27,17238.19,100%
read,read,53,3392000,614.28,610.98,0.9,57877.05,100%
write,write,19,1216000,1370.89,1368.16,0.32,20748.37,100%
read,read,49,3136000,558.45,554.31,0.85,54102.55,100%
write,write,15,960000,2039.87,2037.73,0.26,16562,100%
read,read,34,2176000,485.79,481.24,0.57,36500.88,100%
write,write,24,1536000,1795.71,1793.29,0.4,25765.33,100%
read,read,54,3456000,575.8,572.59,0.9,57895.27,100%
