================================================== stage: s1-init ==================================================
---------------------------------- mission: MBA6E02D3CC, driver: driver1 ----------------------------------
2017-11-10 17:00:47,004 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects255
2017-11-10 17:00:47,013 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects7
2017-11-10 17:00:47,186 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects29
2017-11-10 17:00:47,274 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects85
2017-11-10 17:00:47,274 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects144
2017-11-10 17:00:47,337 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects291
2017-11-10 17:00:47,371 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects103
2017-11-10 17:00:47,448 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects161
2017-11-10 17:00:47,486 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects123
2017-11-10 17:00:47,571 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects238
2017-11-10 17:00:47,611 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects220
2017-11-10 17:00:47,777 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects47
2017-11-10 17:00:47,787 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects180
2017-11-10 17:00:47,834 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects198
2017-11-10 17:00:47,838 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects256
2017-11-10 17:00:48,042 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects8
2017-11-10 17:00:48,114 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects67
2017-11-10 17:00:48,132 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects145
2017-11-10 17:00:48,218 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects104
2017-11-10 17:00:48,297 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects86
2017-11-10 17:00:48,380 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects292
2017-11-10 17:00:48,409 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects162
2017-11-10 17:00:48,453 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects30
